,AgentNumber,PolicyNo,CUT_OFF,Applied Premium Date,Issued Date,Premium Collected,Receive Policy date,Freelook,FYC,RYC,Final_FYC,Final_RYC,Total_Commision,FYC/RYC,Status,Final_Result,KyTinhToan,KyKhoaSo,KyThanhToan
1561,60012485,80019833,20240126,2024-01-24,2018-01-25,9186000.0,2018-01-30,2188.0,0.0,97000.0,0.0,97000.0,97000.0,RYC,5,5,20240126,20240126,20240126
1564,60012485,80019833,20240126,2024-01-25,2018-01-25,2764000.0,2018-01-30,2188.0,0.0,28000.0,0.0,28000.0,28000.0,RYC,5,5,20240126,20240126,20240126
1567,60012548,80007444,20240115,2024-01-04,2016-11-29,12601000.0,2016-12-06,2597.0,0.0,258000.0,0.0,258000.0,258000.0,RYC,5,5,20240115,20240115,20240115
1572,60012548,80009127,20240115,2024-01-05,2017-01-12,4000000.0,2017-01-17,2555.0,0.0,40000.0,0.0,40000.0,40000.0,RYC,5,5,20240115,20240115,20240115
1573,60012548,80009216,20240115,2024-01-13,2017-01-13,3448000.0,2017-01-17,2555.0,0.0,34000.0,0.0,34000.0,34000.0,RYC,5,5,20240115,20240115,20240115
1574,60012548,80009484,20240126,2024-01-19,2017-01-19,4000000.0,2017-01-25,2558.0,0.0,40000.0,0.0,40000.0,40000.0,RYC,5,5,20240126,20240126,20240126
1575,60012548,80009658,20240126,2024-01-25,2017-01-25,6000000.0,2017-02-05,2547.0,0.0,60000.0,0.0,60000.0,60000.0,RYC,5,5,20240126,20240126,20240126
1576,60012548,80009659,20240126,2024-01-25,2017-02-13,6000000.0,2017-02-15,2537.0,0.0,60000.0,0.0,60000.0,60000.0,RYC,5,5,20240126,20240126,20240126
1577,60012548,80035659,20240126,2024-01-24,2018-12-25,7930000.0,2019-01-05,1848.0,0.0,93000.0,0.0,93000.0,93000.0,RYC,5,5,20240126,20240126,20240126
1580,60012548,80046647,20240126,2024-01-24,2019-07-16,2976000.0,2019-07-19,1653.0,0.0,119000.0,0.0,119000.0,119000.0,RYC,5,5,20240126,20240126,20240126
1581,60012548,80053137,20240126,2024-01-22,2019-11-25,5305000.0,2019-12-14,1505.0,0.0,24000.0,0.0,24000.0,24000.0,RYC,5,5,20240126,20240126,20240126
1591,60012548,80053137,20240126,2024-01-24,2019-11-25,926000.0,2019-12-14,1505.0,0.0,19000.0,0.0,19000.0,19000.0,RYC,5,5,20240126,20240126,20240126
1601,60012548,80055778,20240126,2024-01-26,2020-01-15,8848000.0,2020-01-20,1468.0,0.0,361000.0,0.0,361000.0,361000.0,RYC,5,5,20240126,20240126,20240126
1603,60012548,80081314,20240115,2024-01-12,2021-05-18,5013000.0,2021-05-26,965.0,0.0,384000.0,0.0,384000.0,384000.0,RYC,5,5,20240115,20240115,20240115
1608,60012551,80036571,20240115,2024-01-09,2019-01-25,8430000.0,2019-02-14,1797.0,0.0,90000.0,0.0,90000.0,90000.0,RYC,5,5,20240115,20240115,20240115
1611,60012551,80036571,20240115,2024-01-11,2019-01-25,2058000.0,2019-02-14,1797.0,0.0,21000.0,0.0,21000.0,21000.0,RYC,5,5,20240115,20240115,20240115
1614,60012573,80019715,20240126,2024-01-22,2018-01-23,2000000.0,2018-01-29,2189.0,0.0,26000.0,0.0,26000.0,26000.0,RYC,5,5,20240126,20240126,20240126
1618,60012639,80033971,20240126,2024-01-16,2018-11-28,8478000.0,2018-12-05,1879.0,0.0,85000.0,0.0,85000.0,85000.0,RYC,5,5,20240126,20240126,20240126
1619,60012686,80020141,20240126,2024-01-26,2018-01-31,11583000.0,2018-02-09,2178.0,0.0,134000.0,0.0,134000.0,134000.0,RYC,5,5,20240126,20240126,20240126
1622,60012700,80019875,20240126,2024-01-24,2018-01-25,9212000.0,2018-01-31,2187.0,0.0,92000.0,0.0,92000.0,92000.0,RYC,5,5,20240126,20240126,20240126
1623,60012700,80019876,20240126,2024-01-24,2018-01-25,8332000.0,2018-02-06,2181.0,0.0,83000.0,0.0,83000.0,83000.0,RYC,5,5,20240126,20240126,20240126
1624,60012700,80055853,20240126,2024-01-19,2020-01-20,8734000.0,2020-02-12,1445.0,0.0,335000.0,0.0,335000.0,335000.0,RYC,5,5,20240126,20240126,20240126
1626,60012709,80019957,20240126,2024-01-25,2018-01-25,10000000.0,2018-02-02,2185.0,0.0,100000.0,0.0,100000.0,100000.0,RYC,5,5,20240126,20240126,20240126
1628,60012709,80019957,20240126,2024-01-26,2018-01-25,1758000.0,2018-02-02,2185.0,0.0,18000.0,0.0,18000.0,18000.0,RYC,5,5,20240126,20240126,20240126
1630,60012856,80021153,20240126,2024-01-16,2018-03-19,1587000.0,2018-03-21,2138.0,0.0,16000.0,0.0,16000.0,16000.0,RYC,5,5,20240126,20240126,20240126
1631,60012920,80071851,20240126,2024-01-22,2021-01-15,6332000.0,2021-01-20,1102.0,0.0,380000.0,0.0,380000.0,380000.0,RYC,5,5,20240126,20240126,20240126
1634,60012920,80071877,20240126,2024-01-22,2021-01-11,12612000.0,2021-01-13,1109.0,0.0,757000.0,0.0,757000.0,757000.0,RYC,5,5,20240126,20240126,20240126
1638,60012932,80026285,20240115,2024-01-12,2018-07-18,4163000.0,2018-08-01,1994.0,0.0,42000.0,0.0,42000.0,42000.0,RYC,5,5,20240115,20240115,20240115
1639,60012932,80026285,20240126,2024-01-19,2018-07-18,871000.0,2018-08-01,2005.0,0.0,9000.0,0.0,9000.0,9000.0,RYC,5,5,20240126,20240126,20240126
1640,60013081,80005059,20240115,2024-01-08,2016-08-29,3702000.0,2016-09-10,2684.0,0.0,75000.0,0.0,75000.0,75000.0,RYC,5,5,20240115,20240115,20240115
1645,60013087,80036340,20240126,2024-01-24,2018-12-28,5151000.0,2019-01-03,1850.0,0.0,52000.0,0.0,52000.0,52000.0,RYC,5,5,20240126,20240126,20240126
1647,60013087,80036340,20240126,2024-01-25,2018-12-28,1907000.0,2019-01-03,1850.0,0.0,19000.0,0.0,19000.0,19000.0,RYC,5,5,20240126,20240126,20240126
1649,60013104,80039261,20240126,2024-01-19,2019-03-04,955000.0,2019-03-09,1785.0,0.0,38000.0,0.0,38000.0,38000.0,RYC,5,5,20240126,20240126,20240126
1651,60013104,80039261,20240126,2024-01-22,2019-03-04,2801000.0,2019-03-09,1785.0,0.0,56000.0,0.0,56000.0,56000.0,RYC,5,5,20240126,20240126,20240126
1653,60013110,80021508,20240126,2024-01-20,2018-03-24,3125000.0,2018-04-02,2126.0,0.0,31000.0,0.0,31000.0,31000.0,RYC,5,5,20240126,20240126,20240126
