,Issuing Agent,Base,Rider,%Rider/Base
226,60057700,1,3.0,3
227,60057705,1,0.0,0
228,60057747,1,5.0,5
229,60057762,1,1.0,1
230,60057764,2,3.0,2
231,60057769,1,4.0,4
232,60057789,3,10.0,3
233,60057794,1,5.0,5
234,60057864,3,3.0,1
235,60057866,1,0.0,0
236,60057930,1,3.0,3
237,60057975,1,3.0,3
238,60058013,1,3.0,3
239,60058033,1,5.0,5
240,60058060,1,2.0,2
241,60058126,1,3.0,3
242,60058129,2,7.0,4
243,60058138,1,0.0,0
244,60058139,1,1.0,1
245,60058140,1,1.0,1
246,60058142,1,1.0,1
247,60058240,1,4.0,4
248,60058262,1,2.0,2
249,60058263,1,2.0,2
250,60058264,1,0.0,0
251,60058295,2,12.0,6
252,60058311,1,9.0,9
253,60058404,1,0.0,0
254,60058447,1,3.0,3
255,60058469,1,1.0,1
256,60058495,2,9.0,4
257,60058541,1,1.0,1
258,60058551,1,5.0,5
259,60058726,1,2.0,2
260,60058727,1,2.0,2
261,60058744,1,1.0,1
262,60058748,3,4.0,1
263,60058844,1,8.0,8
264,60058929,2,3.0,2
265,60058973,4,15.0,4
266,60058990,1,1.0,1
267,60059033,3,13.0,4
268,60059132,1,2.0,2
269,60059144,1,4.0,4
270,60059145,4,12.0,3
271,60059146,2,4.0,2
272,60059147,1,3.0,3
273,60059148,1,3.0,3
274,60059149,1,2.0,2
275,60059153,1,0.0,0
276,60059228,1,4.0,4
277,60059283,3,9.0,3
278,60059297,1,2.0,2
279,60059310,1,3.0,3
280,60059311,1,3.0,3
281,60059355,7,15.0,2
282,60059361,1,0.0,0
283,60059396,1,3.0,3
284,60059409,1,2.0,2
285,60059511,1,2.0,2
286,60059617,3,21.0,7
287,60059660,1,3.0,3
288,60059661,1,2.0,2
289,60059672,7,7.0,1
290,60059816,1,1.0,1
291,60059869,1,8.0,8
292,60060464,1,2.0,2
293,60060633,1,3.0,3
294,60060664,1,2.0,2
295,60060671,2,6.0,3
296,60060797,1,0.0,0
297,60061075,1,4.0,4
298,60061132,1,2.0,2
299,60061343,2,6.0,3
300,60061683,1,4.0,4
301,60061917,2,6.0,3
302,60061923,1,2.0,2
303,60062229,1,1.0,1
304,60062237,2,17.0,8
305,60062313,1,6.0,6
306,60062317,1,3.0,3
307,60062463,1,2.0,2
308,60062474,3,8.0,3
309,60062475,3,4.0,1
310,60062477,2,2.0,1
311,60063054,1,2.0,2
312,60063082,1,1.0,1
313,60063206,1,1.0,1
314,60063260,1,5.0,5
315,60063850,1,1.0,1
316,60063854,1,1.0,1
317,60063857,1,5.0,5
318,60063973,1,2.0,2
319,60064674,7,30.0,4
320,60064945,2,4.0,2
321,60065271,2,4.0,2
322,60065651,1,7.0,7
323,60066095,1,7.0,7
324,60066517,2,4.0,2
325,60066547,1,4.0,4
326,60066756,1,0.0,0
327,60066766,1,2.0,2
328,60066784,2,11.0,6
329,60066792,1,6.0,6
330,60066796,2,11.0,6
331,60066803,1,7.0,7
332,60066864,1,4.0,4
333,60066901,2,2.0,1
334,60067077,1,4.0,4
335,60067092,1,3.0,3
336,60067127,1,6.0,6
337,60067140,1,1.0,1
338,60067142,1,0.0,0
339,60067159,1,3.0,3
340,60067208,1,2.0,2
341,60067229,1,3.0,3
342,60067311,1,4.0,4
343,60067312,1,7.0,7
344,60067383,1,2.0,2
345,60067412,1,0.0,0
346,60067413,1,0.0,0
347,60067414,3,4.0,1
348,60067416,1,0.0,0
349,60067417,1,0.0,0
350,60067425,1,5.0,5
351,60067428,1,5.0,5
352,60067436,1,0.0,0
353,60067453,1,2.0,2
354,60067540,1,1.0,1
355,60067554,2,0.0,0
356,60067560,5,0.0,0
357,60067561,1,0.0,0
358,60067572,1,0.0,0
359,60067591,1,4.0,4
360,60067624,1,2.0,2
361,60067627,1,4.0,4
362,60067632,1,3.0,3
363,60067636,2,8.0,4
364,60067640,2,1.0,0
365,60067648,2,4.0,2
366,60067700,1,0.0,0
367,60067718,3,10.0,3
368,60068089,1,1.0,1
369,60068090,1,4.0,4
370,60068104,2,3.0,2
371,60068108,2,8.0,4
372,60068158,1,4.0,4
373,60068160,2,6.0,3
374,60068263,1,1.0,1
375,60068274,1,2.0,2
376,60068278,1,8.0,8
377,60068309,1,2.0,2
378,60068331,8,33.0,4
379,60068400,1,3.0,3
380,60068474,3,8.0,3
381,60068597,2,1.0,0
382,60068629,1,1.0,1
383,60068634,1,2.0,2
384,60068733,1,6.0,6
385,60068745,2,4.0,2
386,60068780,1,0.0,0
387,60068820,1,0.0,0
388,60068834,1,0.0,0
389,60068835,1,0.0,0
390,60068904,2,7.0,4
391,60068924,1,1.0,1
392,60069020,1,4.0,4
393,60069029,2,3.0,2
394,60069067,2,7.0,4
395,60069082,1,1.0,1
396,60069085,1,17.0,17
397,60069092,1,0.0,0
398,60069094,1,1.0,1
399,60069095,1,1.0,1
400,60069096,1,0.0,0
401,60069097,1,1.0,1
402,60069099,1,0.0,0
403,60069100,2,3.0,2
404,60069111,1,0.0,0
405,60069114,2,4.0,2
406,60069129,1,1.0,1
407,60069130,1,1.0,1
408,60069131,1,1.0,1
409,60069133,1,1.0,1
410,60069134,2,0.0,0
411,60069207,2,2.0,1
412,60069208,2,2.0,1
413,60069209,2,1.0,0
414,60069215,1,1.0,1
415,60069245,2,10.0,5
416,60069290,1,3.0,3
417,60069297,1,3.0,3
418,60069309,1,5.0,5
419,60069316,1,3.0,3
420,60069360,1,4.0,4
421,60069367,5,19.0,4
422,60069488,1,9.0,9
423,60069537,1,5.0,5
424,60069543,1,0.0,0
425,60069547,1,2.0,2
426,60069645,1,1.0,1
427,60069713,1,8.0,8
428,60069725,1,2.0,2
429,60069757,1,10.0,10
430,60069820,1,3.0,3
431,60069832,1,3.0,3
432,60069836,1,2.0,2
433,60069884,1,4.0,4
434,60069896,1,0.0,0
435,60070013,3,0.0,0
436,60070023,1,6.0,6
437,60070061,2,0.0,0
438,60070112,1,7.0,7
439,60070128,1,5.0,5
440,60070144,1,0.0,0
441,60070182,1,0.0,0
442,60070197,1,3.0,3
443,60070486,1,0.0,0
444,60070487,1,1.0,1
445,60070507,1,1.0,1
446,60070508,1,1.0,1
447,60070645,3,2.0,1
448,60070704,2,19.0,10
449,60070705,1,2.0,2
450,60070706,4,8.0,2
451,60070717,1,3.0,3
452,60070720,2,7.0,4
453,60070740,1,0.0,0
454,60070747,3,19.0,6
455,60070772,1,8.0,8
456,60070777,1,3.0,3
457,60070790,1,0.0,0
458,60070793,1,4.0,4
459,60070796,1,5.0,5
460,60070807,1,2.0,2
461,60070835,2,15.0,8
462,60070872,1,3.0,3
463,60070882,1,2.0,2
464,60070883,1,2.0,2
465,60070884,1,3.0,3
466,60070885,2,6.0,3
467,60070892,2,6.0,3
468,60070913,1,2.0,2
469,60070970,2,5.0,2
470,60070984,3,29.0,10
471,60071008,1,2.0,2
472,60071009,1,2.0,2
473,60071012,2,13.0,6
474,60071054,1,0.0,0
475,60071062,1,5.0,5
476,60071080,3,7.0,2
477,60071103,1,3.0,3
478,60071142,2,0.0,0
479,60071168,1,2.0,2
480,60071204,3,2.0,1
481,60071278,1,3.0,3
482,60071284,1,0.0,0
483,60071286,1,0.0,0
484,60071312,1,4.0,4
485,60071321,4,39.0,10
486,60071329,2,4.0,2
487,60071330,1,1.0,1
488,60071341,7,24.0,3
489,60071346,1,1.0,1
490,60071359,1,3.0,3
491,60071366,2,4.0,2
492,60071378,1,1.0,1
493,60071381,1,3.0,3
494,60071391,4,22.0,6
495,60071393,1,3.0,3
496,60071395,2,7.0,4
497,60071396,2,7.0,4
498,60071401,1,2.0,2
499,60071404,1,1.0,1
500,60071425,1,13.0,13
501,60071431,2,13.0,6
502,60071439,4,13.0,3
503,60071458,1,5.0,5
504,60071466,1,5.0,5
505,60071476,1,0.0,0
506,60071477,1,3.0,3
507,60071490,1,0.0,0
508,60071492,2,0.0,0
509,60071501,1,2.0,2
510,60071516,1,4.0,4
511,60071520,1,5.0,5
512,60071565,3,2.0,1
513,60071572,2,6.0,3
514,60071603,1,3.0,3
515,60071675,1,0.0,0
516,60071708,2,4.0,2
517,60071711,2,6.0,3
518,60071722,1,0.0,0
519,60071731,3,6.0,2
520,60071760,1,0.0,0
521,60071761,1,0.0,0
522,60071801,1,2.0,2
523,60071835,1,1.0,1
524,60071836,2,2.0,1
525,60071855,2,14.0,7
526,60071856,3,9.0,3
527,60071860,1,2.0,2
528,60071863,1,4.0,4
529,60071866,1,0.0,0
530,60071868,1,0.0,0
531,60071869,2,2.0,1
532,60071870,1,0.0,0
533,60071871,1,0.0,0
534,60071876,1,3.0,3
535,60071908,2,4.0,2
536,60071939,1,2.0,2
537,60071964,1,1.0,1
538,60071971,2,17.0,8
539,60071972,1,3.0,3
540,60071977,2,9.0,4
541,60071979,1,1.0,1
542,60071991,2,9.0,4
543,60071992,1,0.0,0
544,60071995,1,0.0,0
545,60072003,2,4.0,2
546,60072004,4,10.0,2
547,60072007,1,3.0,3
548,60072008,1,4.0,4
549,60072020,1,4.0,4
550,60072025,1,4.0,4
551,60072038,1,6.0,6
552,60072042,1,2.0,2
553,60072044,1,3.0,3
554,60072049,1,2.0,2
555,60072070,1,5.0,5
556,60072144,1,15.0,15
557,60072146,1,2.0,2
558,60072152,1,1.0,1
559,60072216,3,11.0,4
560,60072319,1,16.0,16
561,60072329,1,2.0,2
562,60072359,1,14.0,14
563,60072373,2,2.0,1
564,60072379,2,0.0,0
565,60072385,1,2.0,2
566,60072386,2,0.0,0
567,60072387,2,0.0,0
568,60072388,2,0.0,0
569,60072421,2,6.0,3
570,60072426,1,3.0,3
571,60072427,1,0.0,0
572,60072429,1,0.0,0
573,60072435,2,6.0,3
574,60072459,1,4.0,4
575,60072464,1,0.0,0
576,60072474,1,3.0,3
577,60072484,1,3.0,3
578,60072494,2,10.0,5
579,60072507,2,10.0,5
580,60072524,1,2.0,2
581,60072526,1,5.0,5
582,60072553,1,0.0,0
583,60072561,2,10.0,5
584,60072567,3,18.0,6
585,60072602,2,7.0,4
586,60072647,2,6.0,3
587,60072701,2,4.0,2
588,60072703,1,0.0,0
589,60072718,2,10.0,5
590,60072767,1,0.0,0
591,60072780,1,4.0,4
592,60072782,1,0.0,0
593,60072787,1,1.0,1
594,60072795,1,0.0,0
595,60072796,1,3.0,3
596,60072798,1,2.0,2
597,60072973,2,0.0,0
598,60072989,2,0.0,0
599,60072990,2,0.0,0
600,60072991,2,0.0,0
601,60072993,2,0.0,0
602,60072996,1,2.0,2
603,60073026,1,2.0,2
604,60073042,2,2.0,1
605,60073049,1,0.0,0
606,60073055,1,7.0,7
607,60073058,1,0.0,0
608,60073059,2,0.0,0
609,60073060,2,0.0,0
610,60073061,1,0.0,0
611,60073062,2,0.0,0
612,60073064,1,1.0,1
613,60073065,1,1.0,1
614,60073066,1,1.0,1
615,60073069,2,23.0,12
616,60073079,1,13.0,13
617,60073085,2,10.0,5
618,60073086,2,7.0,4
619,60073093,2,7.0,4
620,60073110,1,0.0,0
621,60073113,1,3.0,3
622,60073114,1,2.0,2
623,60073118,2,13.0,6
624,60073120,2,15.0,8
625,60073131,2,0.0,0
626,60073138,1,3.0,3
627,60073161,1,3.0,3
628,60073163,1,8.0,8
629,60073168,1,1.0,1
630,60073177,1,3.0,3
631,60073182,2,6.0,3
632,60073190,3,0.0,0
633,60073191,2,9.0,4
634,60073214,1,4.0,4
635,60073216,2,4.0,2
636,60073218,2,2.0,1
637,60073244,1,3.0,3
638,60073255,4,12.0,3
639,60073257,2,4.0,2
640,60073266,1,5.0,5
641,60073274,1,1.0,1
642,60073275,1,2.0,2
643,60073287,1,2.0,2
644,60073308,2,6.0,3
645,60073313,1,4.0,4
646,60073323,1,6.0,6
647,60073330,1,4.0,4
648,60073343,1,4.0,4
649,60073372,1,1.0,1
650,60073399,6,0.0,0
651,60073401,1,4.0,4
652,60073408,1,5.0,5
653,60073411,2,0.0,0
654,60073437,2,3.0,2
655,60073443,2,0.0,0
656,60073448,2,0.0,0
657,60073726,2,0.0,0
658,60073734,4,16.0,4
659,60073749,1,3.0,3
660,60073751,2,7.0,4
661,60073752,1,0.0,0
662,60073769,1,6.0,6
663,60073781,1,8.0,8
664,60073786,1,0.0,0
665,60073794,1,2.0,2
666,60073797,1,12.0,12
667,60073819,1,4.0,4
668,60073832,1,9.0,9
669,60073859,1,2.0,2
670,60073864,1,3.0,3
671,60073866,1,2.0,2
672,60073921,2,14.0,7
673,60074031,2,4.0,2
674,60074035,1,2.0,2
675,60074070,1,2.0,2
676,60074087,1,2.0,2
677,60074090,1,0.0,0
678,60074092,1,6.0,6
679,60074094,1,7.0,7
680,60074111,1,4.0,4
681,60074116,2,6.0,3
682,60074117,3,11.0,4
683,60074118,2,5.0,2
684,60074119,1,1.0,1
685,60074123,2,3.0,2
686,60074125,2,8.0,4
687,60074130,1,1.0,1
688,60074141,3,5.0,2
689,60074142,4,6.0,2
690,60074144,2,5.0,2
691,60074147,1,2.0,2
692,60074148,2,4.0,2
693,60074154,1,4.0,4
694,60074155,1,3.0,3
695,60074208,2,3.0,2
696,60074212,2,6.0,3
697,60074214,2,3.0,2
698,60074266,1,5.0,5
699,60074396,2,4.0,2
700,60074407,3,6.0,2
701,60074412,2,3.0,2
702,60074450,1,3.0,3
703,60074455,1,0.0,0
704,60074479,1,2.0,2
705,60074483,1,1.0,1
706,60074485,1,3.0,3
707,60074486,1,3.0,3
708,60074488,3,7.0,2
709,60074489,2,8.0,4
710,60074490,1,4.0,4
711,60074495,1,1.0,1
712,60074496,2,4.0,2
713,60074498,1,1.0,1
714,60074502,2,4.0,2
715,60074503,2,7.0,4
716,60074509,2,5.0,2
717,60074512,1,1.0,1
718,60074534,3,7.0,2
719,60074542,1,4.0,4
720,60074543,5,21.0,4
721,60074546,4,14.0,4
722,60074548,2,4.0,2
723,60074550,2,4.0,2
724,60074551,2,2.0,1
725,60074568,1,1.0,1
726,60074570,1,2.0,2
727,60074577,4,9.0,2
728,60074583,1,9.0,9
729,60074590,1,3.0,3
730,60074595,1,3.0,3
731,60074597,1,0.0,0
732,60074599,1,4.0,4
733,60074600,1,5.0,5
734,60074636,1,1.0,1
735,60074645,1,5.0,5
736,60074656,1,2.0,2
737,60074666,3,15.0,5
738,60074667,1,1.0,1
739,60074674,2,6.0,3
740,60074676,1,1.0,1
741,60074679,2,4.0,2
742,60074683,2,1.0,0
743,60074684,2,0.0,0
744,60074686,1,4.0,4
745,60074688,2,4.0,2
746,60074691,1,3.0,3
747,60074703,1,11.0,11
748,60074710,1,3.0,3
749,60074713,2,4.0,2
750,60074719,2,4.0,2
751,60074722,1,2.0,2
752,60074734,1,5.0,5
753,60074741,3,8.0,3
754,60074745,1,0.0,0
755,60074756,3,10.0,3
756,60074757,1,2.0,2
757,60074758,2,4.0,2
758,60074761,1,2.0,2
759,60074762,1,5.0,5
760,60074765,2,4.0,2
761,60074792,1,3.0,3
762,60074808,2,3.0,2
763,60074809,1,0.0,0
764,60074813,1,9.0,9
765,60074826,1,2.0,2
766,60074831,1,0.0,0
767,60074835,1,0.0,0
768,60074837,2,3.0,2
769,60074918,1,0.0,0
770,60074919,1,1.0,1
771,60074932,2,9.0,4
772,60074945,1,10.0,10
773,60074961,1,1.0,1
774,60074977,1,4.0,4
775,60074988,1,4.0,4
776,60075000,2,11.0,6
777,60075012,1,4.0,4
778,60075046,1,2.0,2
779,60075054,1,3.0,3
780,60075061,2,8.0,4
781,60075067,1,2.0,2
782,60075070,2,13.0,6
783,60075074,1,3.0,3
784,60075078,1,3.0,3
785,60075080,2,10.0,5
786,60075085,1,1.0,1
787,60075092,1,4.0,4
788,60075095,1,4.0,4
789,60075099,1,2.0,2
790,60075100,1,6.0,6
791,60075116,1,7.0,7
792,60075122,1,4.0,4
793,60075139,1,4.0,4
794,60075147,1,3.0,3
795,60075149,1,2.0,2
796,60075163,3,22.0,7
797,60075166,1,4.0,4
798,60075172,2,6.0,3
799,60075174,1,3.0,3
800,60075179,1,4.0,4
801,60075180,2,4.0,2
802,60075183,4,11.0,3
803,60075195,1,0.0,0
804,60075196,2,6.0,3
