,Issuing Agent,Base,Rider,%Rider/Base
994,60075912,1,3.0,3
995,60075918,1,10.0,10
996,60075920,1,3.0,3
997,60075921,1,1.0,1
998,60075923,1,0.0,0
999,60075925,1,1.0,1
1000,60075926,3,9.0,3
1001,60075928,1,3.0,3
1002,60075935,1,5.0,5
1003,60075949,1,5.0,5
1004,60075951,1,2.0,2
1005,60075954,1,5.0,5
1006,60075955,1,4.0,4
1007,60075956,1,4.0,4
1008,60075958,1,1.0,1
1009,60075961,2,6.0,3
1010,60075971,1,4.0,4
1011,60075973,1,4.0,4
1012,60075974,1,2.0,2
1013,60075975,1,0.0,0
1014,60075976,1,4.0,4
1015,60075979,1,3.0,3
1016,60075980,1,8.0,8
1017,60075982,1,2.0,2
1018,60075988,1,0.0,0
1019,60075989,1,2.0,2
1020,60075993,1,0.0,0
1021,60075995,1,12.0,12
1022,60076006,6,19.0,3
1023,60076008,1,3.0,3
1024,60076010,1,3.0,3
1025,60076011,5,16.0,3
1026,60076012,1,5.0,5
1027,60076014,1,2.0,2
1028,60076015,1,1.0,1
1029,60076030,2,12.0,6
1030,60076031,1,2.0,2
1031,60076033,1,3.0,3
1032,60076035,1,2.0,2
1033,60076037,1,2.0,2
1034,60076039,1,0.0,0
1035,60076043,1,1.0,1
1036,60076045,2,4.0,2
1037,60076049,3,7.0,2
1038,60076050,1,0.0,0
1039,60076051,1,2.0,2
1040,60076056,1,3.0,3
1041,60076057,1,2.0,2
1042,60076058,1,2.0,2
1043,60076059,1,3.0,3
1044,60076066,1,0.0,0
1045,60076071,1,4.0,4
1046,60076076,2,4.0,2
1047,60076077,2,4.0,2
1048,60076082,1,2.0,2
1049,60076088,11,14.0,1
1050,60076091,1,10.0,10
1051,60076092,1,4.0,4
1052,60076099,1,3.0,3
1053,60076100,1,2.0,2
1054,60076102,6,6.0,1
1055,60076106,1,1.0,1
1056,60076108,1,2.0,2
1057,60076113,1,5.0,5
1058,60076114,1,4.0,4
1059,60076117,2,5.0,2
1060,60076119,1,0.0,0
1061,60076123,1,0.0,0
1062,60076124,1,0.0,0
1063,60076125,2,6.0,3
1064,60076126,1,0.0,0
1065,60076127,1,0.0,0
1066,60076129,1,0.0,0
1067,60076135,1,0.0,0
1068,60076136,1,2.0,2
1069,60076137,1,4.0,4
1070,60076139,1,0.0,0
1071,60076140,1,0.0,0
1072,60076141,2,2.0,1
1073,60076148,2,9.0,4
1074,69999997,1,5.0,5
