,Issuing Agent,PolicyNum,Product Code,Count_Policy,Base/Rider
2497,60075692,80132497,URC5,1,Rider
2498,60075692,80132497,RHS1,1,Rider
2499,60075692,80132497,UL06,1,Base
2500,60069297,80132778,URC5,1,Rider
2501,60069297,80132778,URC6,1,Rider
2502,60069297,80132778,UL05,1,Base
2503,60069297,80132778,URA5,1,Rider
2504,60070112,80133014,URA5,1,Rider
2505,60070112,80133014,RHB1,1,Rider
2506,60070112,80133014,URW5,1,Rider
2507,60070112,80133014,RHS1,1,Rider
2508,60070112,80133014,URC5,1,Rider
2509,60070112,80133014,UL05,1,Base
2510,60072426,80132352,URC6,1,Rider
2511,60072426,80132352,URA5,1,Rider
2512,60072426,80132352,UL05,1,Base
2513,60072426,80132352,URC5,1,Rider
2514,60075621,80132893,URA5,1,Rider
2515,60075621,80132893,UL05,1,Base
2516,60075621,80132893,URC5,1,Rider
2517,60075621,80132893,RHB1,1,Rider
2518,60059145,80131734,URA5,1,Rider
2519,60059145,80131734,UL05,1,Base
2520,60059145,80131734,URC5,1,Rider
2521,60059145,80131734,RHB1,1,Rider
2522,60075876,80131683,RHS1,1,Rider
2523,60075876,80131683,UL05,1,Base
2524,60075876,80131683,RHB1,1,Rider
2525,60031413,80132407,URC5,1,Rider
2526,60031413,80132407,RHB1,1,Rider
2527,60031413,80132407,URA5,1,Rider
2528,60031413,80132407,UL05,1,Base
2529,60074543,80133031,RHS1,1,Rider
2530,60074543,80133031,UL05,1,Base
2531,60074543,80133031,RHB1,1,Rider
2532,60074543,80133031,URA5,1,Rider
2533,60074543,80133031,URC5,1,Rider
2534,60071330,80132849,URA5,1,Rider
2535,60071330,80132849,UL06,1,Base
2536,60043999,80132695,RHB1,1,Rider
2537,60043999,80132695,URA5,1,Rider
2538,60043999,80132695,UL06,1,Base
2539,60043999,80132695,URC5,1,Rider
2540,60068089,80131820,URA5,1,Rider
2541,60068089,80131820,UL05,1,Base
2542,60072379,80131586,UL05,1,Base
2543,60074686,80132171,UL05,1,Base
2544,60074686,80132171,URW5,1,Rider
2545,60074686,80132171,RHB1,1,Rider
2546,60074686,80132171,RHS1,1,Rider
2547,60074686,80132171,URA5,1,Rider
2548,60056221,80132726,URA5,1,Rider
2549,60056221,80132726,UL06,1,Base
2550,60071425,80131802,RHS1,1,Rider
2551,60071425,80131802,UL06,1,Base
2552,60071425,80131802,URC5,1,Rider
2553,60071425,80131802,URA5,1,Rider
2554,60071425,80131802,URT5,1,Rider
2555,60071425,80131802,RHB1,1,Rider
2556,60070740,80132709,UL06,1,Base
2557,60068263,80131921,URA5,1,Rider
2558,60068263,80131921,UL06,1,Base
2559,60072421,80132466,URA5,1,Rider
2560,60072421,80132466,UL05,1,Base
2561,60072421,80132466,URC5,1,Rider
2562,60072421,80132466,RHB1,1,Rider
2563,60075730,80132304,URA5,1,Rider
2564,60075730,80132304,URW5,1,Rider
2565,60075730,80132304,UL05,1,Base
2566,60075730,80132304,URC5,1,Rider
2567,60075730,80132304,RHB1,1,Rider
2568,60072796,80132662,UL05,1,Base
2569,60072796,80132662,RHS1,1,Rider
2570,60072796,80132662,URC5,1,Rider
2571,60072796,80132662,RHB1,1,Rider
2572,60073797,80132007,RHB1,1,Rider
2573,60073797,80132007,URA5,1,Rider
2574,60073797,80132007,URC6,1,Rider
2575,60073797,80132007,UL05,1,Base
2576,60073797,80132007,URC5,1,Rider
2577,60073797,80132007,URW5,1,Rider
2578,60072004,80132586,URC5,1,Rider
2579,60072004,80132586,RHB1,1,Rider
2580,60072004,80132586,URA5,1,Rider
2581,60072004,80132586,UL05,1,Base
2582,60075825,80132653,RHB1,1,Rider
2583,60075825,80132653,URC6,1,Rider
2584,60075825,80132653,UL05,1,Base
2585,60074577,80131471,URC5,1,Rider
2586,60074577,80131471,URA5,1,Rider
2587,60074577,80131471,UL05,1,Base
2588,60075268,80131751,URC6,1,Rider
2589,60075268,80131751,UL06,1,Base
2590,60075268,80131751,URA5,1,Rider
2591,60075268,80131751,URC5,1,Rider
2592,60057050,80131755,UL05,1,Base
2593,60057050,80131755,RHS1,1,Rider
2594,60074144,80132125,URC5,1,Rider
2595,60074144,80132125,RHB1,1,Rider
2596,60074144,80132125,UL05,1,Base
2597,60076077,80132285,URC5,1,Rider
2598,60076077,80132285,UL05,1,Base
2599,60076077,80132285,URA5,1,Rider
2600,60071675,80132578,UL05,1,Base
